	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
30	271.426	140.0	169.0	2.456140350877193	 	 	 		 
31	272.26099999999997	1300.0	11.0	22.80701754385965	 	 	 		 
32	272.649	800.0	32.0	14.035087719298245	 	 	 		 
33	273.272	490.0	71.0	8.596491228070175	 	 	 		 
34	273.486	1400.0	10.0	24.56140350877193	 	 	 		 
35	274.051	110.0	179.0	1.9298245614035088	 	 	 		 
36	274.155	140.0	170.0	2.456140350877193	 	 	 		 
37	274.256	1100.0	18.0	19.29824561403509	 	 	 		 
38	274.586	660.0	49.0	11.578947368421053	 	 	 		 
39	275.221	660.0	50.0	11.578947368421053	 	 	 		 
40	275.881	530.0	66.0	9.298245614035087	 	 	 		 
41	276.873	200.0	127.0	3.508771929824561	 	 	 		 
42	279.69	160.0	148.0	2.807017543859649	 	 	 		 
43	279.915	110.0	180.0	1.9298245614035088	 	 	 		 
44	281.091	180.0	142.0	3.1578947368421053	 	 	 		 
45	281.874	390.0	78.0	6.842105263157895	 	 	 		 
46	282.556	530.0	67.0	9.298245614035087	 	 	 		 
47	283.39099999999996	110.0	181.0	1.9298245614035088	 	 	 		 
48	283.934	120.0	177.0	2.1052631578947367	 	 	 		 
49	284.35200000000003	130.0	174.0	2.280701754385965	 	 	 		 
50	284.45799999999997	660.0	51.0	11.578947368421053	 	 	 		 
